Estimate,Std. Error,df,t value,Pr(>|t|),Std_Coefficient,CI_low,CI_high,std_SE,var,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,m,model_spe,factor_no,intervention_no,moderation_no,ame_no,SE_no,z_no,p_no,lower_no,upper_no,factor_yes,intervention_yes,moderation_yes,ame_yes,SE_yes,z_yes,p_yes,lower_yes,upper_yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
0.623220908,0.026350553,52.78557474,23.65115111,9.25E-30,-0.24403833,-0.360559005,-0.127517656,0.05944998,(Intercept),0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.057609133,0.039166763,69.06399749,1.470867856,0.145868555,0.129973107,-0.043220145,0.30316636,0.088364879,interventionC+M,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.14424792,0.054923285,31.41829412,2.626352759,0.013222929,0.325440639,0.082572973,0.568308304,0.123913441,interventionMO,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
-0.020276217,0.021289379,1398.530183,-0.952409997,0.341053663,-0.045745565,-0.139886053,0.048394924,0.048031392,prepost_b_daPost,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.109736553,0.036273635,44.9460907,3.025242827,0.004098956,0.247578798,0.087178815,0.40797878,0.081837629,moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
-0.006500848,0.032911633,1359.499578,-0.197524331,0.843446771,-0.014666702,-0.160200171,0.130866766,0.074252589,interventionC+M:prepost_b_daPost,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.019400393,0.024412443,1242.965383,0.794692807,0.426943925,0.043769601,-0.06418091,0.151720111,0.055077399,interventionMO:prepost_b_daPost,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
-0.087793352,0.050253476,53.73376384,-1.747010528,0.086349163,-0.198072297,-0.420290367,0.024145772,0.113377817,interventionC+M:moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
-0.212898362,0.064002336,33.86948715,-3.326415501,0.002125735,-0.480324243,-0.763338967,-0.197309519,0.144396861,interventionMO:moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.000419161,0.026185457,1448.034915,0.01600741,0.987230686,0.000945665,-0.114845018,0.116736348,0.059077531,prepost_b_daPost:moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.032230201,0.038224354,1421.20481,0.843184976,0.399266885,0.072715208,-0.096310831,0.241741246,0.086238726,interventionC+M:prepost_b_daPost:moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
0.034543568,0.032236771,1338.424882,1.07155793,0.284111818,0.077934433,-0.064614837,0.220483704,0.072730022,interventionMO:prepost_b_daPost:moderationYes,0.008042022,0.002804611,0.089677322,0.052958576,1863,164855,0.741430289,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,prepost_b_daPost,Control,No,-0.020276217,0.021289379,-0.952409998,0.340889091,-0.062002633,0.021450199,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,prepost_b_daPost,C+M,No,-0.026777066,0.025098564,-1.0668764,0.286027653,-0.075969347,0.022415216,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,prepost_b_daPost,MO,No,-0.000875825,0.011946954,-0.073309443,0.941559877,-0.024291424,0.022539775,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,prepost_b_daPost,Control,Yes,-0.019857056,0.015246,-1.302443695,0.192764754,-0.049738666,0.010024554
